step,opinion_state,control_input,attacker_input
0,[ 0.51684236 -0.3676497   0.09223622  0.24356113],[0.61413081 0.58099093 0.11538401 0.27590615],[0.52944928 0.0755269  0.37257207 0.43032198]
1,[0.66301992 0.98900787 0.68282692 0.23785136],[0.58485608 0.7452055  0.24544446 0.13269999],[0.63855595 0.88292592 0.95057455 0.32360053]
2,[ 0.79559594 -0.71247753  0.35704746  0.30802753],[0.53832718 0.10688158 0.66397407 0.56797984],[0.85625673 0.26689545 0.20866378 0.40749981]
3,[0.71961125 0.70766408 0.23726832 0.89645658],[0.7603745  0.59801283 0.29533941 0.7668187 ],[0.66693086 0.83755316 0.01100221 0.91784095]
4,[ 0.43951322 -0.45091568  0.51978962  0.40429513],[0.87776623 0.13284414 0.47438661 0.12380254],[0.36063076 0.64321853 0.76651935 0.79659288]
5,[0.2505787  0.86697751 0.71688569 0.74508418],[0.15798605 0.90319047 0.96660125 0.45955631],[0.31486593 0.77529265 0.22083082 0.90792463]
6,[ 0.80408187 -0.29012203  0.49339088  0.60892359],[0.45504273 0.81304668 0.4961211  0.87875532],[0.93142927 0.13121771 0.69863943 0.62633293]
7,[0.28852112 0.3375833  0.16440492 0.51734604],[0.0224249  0.87174431 0.01298049 0.74232228],[0.44136479 0.53168565 0.34304687 0.48051496]
8,[0.58743213 0.25778652 0.34753733 0.17611326],[0.37834902 0.8528365  0.28515772 0.34111109],[0.649712   0.21204669 0.49850583 0.18510774]
9,[0.50103184 0.21864085 0.56771097 0.56860564],[0.17388775 0.69498585 0.60951651 0.57075018],[0.59674553 0.35243175 0.47164264 0.63529394]
10,[ 0.62559094 -0.19829693  0.32979408  0.05851164],[0.02102318 0.53881375 0.6408586  0.22227378],[0.84253527 0.21117554 0.05722179 0.17046089]
11,[0.45809329 0.46236532 0.65079146 0.47905953],[0.71737771 0.14245181 0.7578474  0.43077635],[0.34162026 0.91999732 0.33275988 0.53581056]
12,[0.61484109 0.35601813 0.3411529  0.01993974],[0.1518211  0.60572264 0.23842399 0.14607247],[0.78026323 0.9106524  0.56672675 0.18888041]
13,[0.09868751 0.8038374  0.53671054 0.23056021],[0.3578758  0.79610591 0.39771478 0.39444526],[0.03541221 0.96458028 0.64631867 0.25823218]
14,[ 0.66855166 -0.05875976  0.29247139  0.54188132],[0.36772071 0.39331668 0.12626856 0.86638333],[0.73428802 0.33061102 0.63167533 0.43730365]
15,[0.49049019 0.14252168 0.47974165 0.51759316],[0.64330099 0.15592767 0.40572253 0.7454644 ],[0.45672254 0.83707599 0.5266054  0.45054779]
16,[0.21912774 0.27561114 0.26492066 0.53155354],[0.32670205 0.75380965 0.41791586 0.85616587],[0.23877989 0.50220834 0.15815232 0.42477003]
17,[0.16607243 0.86188945 0.58128067 0.21924096],[0.2400481  0.91897526 0.70150672 0.22481317],[0.19123313 0.89006514 0.45339249 0.32121875]
18,[0.72560017 0.53085447 0.65703447 0.52233701],[0.52076622 0.83324001 0.85745503 0.71964893],[0.75396878 0.74480942 0.50354671 0.52330032]
19,[ 0.91291221 -0.17835041  0.52491565  0.30982722],[0.69349719 0.03124928 0.78837553 0.84913367],[0.96823648 0.98726935 0.32242947 0.21046829]
20,[ 0.70713845 -0.18110827  0.60032269  0.54306153],[0.394296   0.29064783 0.7405747  0.53699232],[0.79424932 0.38284606 0.31355419 0.65322961]
21,[ 1.00464575 -0.3124339   0.4982074   0.10881567],[0.91117679 0.25269293 0.7605946  0.17634648],[0.99428309 0.28473647 0.13981623 0.25806965]
22,[0.8643687  0.3070819  0.48914986 0.55749396],[0.41773884 0.46944612 0.76341231 0.52587465],[0.95584597 0.70853823 0.01845907 0.65673967]
